Município1;Código Município IBGE;UF1;Data;Média de Índice De Isolamento
AMPARO;3501905;SP;sábado, 13/06;43%
AMPARO;3501905;SP;sexta-feira, 12/06;42%
AMPARO;3501905;SP;quinta-feira, 11/06;45%
AMPARO;3501905;SP;quarta-feira, 10/06;42%
AMPARO;3501905;SP;terça-feira, 09/06;42%
AMPARO;3501905;SP;segunda-feira, 08/06;39%
AMPARO;3501905;SP;domingo, 07/06;49%
AMPARO;3501905;SP;sábado, 06/06;48%
AMPARO;3501905;SP;sexta-feira, 05/06;43%
AMPARO;3501905;SP;quinta-feira, 04/06;43%
AMPARO;3501905;SP;quarta-feira, 03/06;44%
AMPARO;3501905;SP;terça-feira, 02/06;44%
AMPARO;3501905;SP;segunda-feira, 01/06;43%
AMPARO;3501905;SP;domingo, 31/05;51%
AMPARO;3501905;SP;sábado, 30/05;46%
AMPARO;3501905;SP;sexta-feira, 29/05;43%
AMPARO;3501905;SP;quinta-feira, 28/05;44%
AMPARO;3501905;SP;quarta-feira, 27/05;44%
AMPARO;3501905;SP;terça-feira, 26/05;43%
AMPARO;3501905;SP;segunda-feira, 25/05;49%
AMPARO;3501905;SP;domingo, 24/05;54%
AMPARO;3501905;SP;sábado, 23/05;47%
AMPARO;3501905;SP;sexta-feira, 22/05;44%
AMPARO;3501905;SP;quinta-feira, 21/05;45%
AMPARO;3501905;SP;quarta-feira, 20/05;44%
AMPARO;3501905;SP;terça-feira, 19/05;44%
AMPARO;3501905;SP;segunda-feira, 18/05;45%
AMPARO;3501905;SP;domingo, 17/05;52%
AMPARO;3501905;SP;sábado, 16/05;47%
AMPARO;3501905;SP;sexta-feira, 15/05;49%
AMPARO;3501905;SP;quinta-feira, 14/05;49%
AMPARO;3501905;SP;quarta-feira, 13/05;50%
AMPARO;3501905;SP;terça-feira, 12/05;50%
AMPARO;3501905;SP;segunda-feira, 11/05;50%
AMPARO;3501905;SP;domingo, 10/05;57%
AMPARO;3501905;SP;sábado, 09/05;51%
AMPARO;3501905;SP;sexta-feira, 08/05;48%
AMPARO;3501905;SP;quinta-feira, 07/05;50%
AMPARO;3501905;SP;quarta-feira, 06/05;50%
AMPARO;3501905;SP;terça-feira, 05/05;50%
AMPARO;3501905;SP;segunda-feira, 04/05;50%
AMPARO;3501905;SP;domingo, 03/05;62%
AMPARO;3501905;SP;sábado, 02/05;56%
